Name,Type 1,Type 2,Ability1,Ability2,Ability_Hidden,hasHP,hasAttack,hasDefense,hasSpAttack,hasSpDefense,hasSpeed,hasBST,Generation,hasExpToLvl100,esEvolucionFinal,hasCatchRate,isLegendary,Mega Evolution,Alolan Form,Galarian Form,hasHeight,hasWeight,hasBMI,Dataset_Pokedex.hasGenderMaleRatio,Dataset_Pokedex.hasGenderFemaleRatio,Dataset_Pokedex.hasEggSteps,Dataset_Pokedex.Egg_Group1,Dataset_Pokedex.Egg_Group2,Dataset_Pokedex.hasBaseExperience,Dataset_Pokedex.Category,Kanto.Moves
Machamp,Fighting,,Guts, No Guard, Steadfast,90,130,80,65,85,55,505,1,1059860,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.6,130,50.8,75,25,20,Human-Like,,253,Ordinary,"karate-chop, fighting, mega-punch, normal, fire-punch, fire, ice-punch, ice, thunder-punch, electric, mega-kick, normal, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, leer, normal, flamethrower, fire, hyper-beam, normal, submission, fighting, low-kick, fighting, counter, fighting, seismic-toss, fighting, strength, normal, earthquake, ground, fissure, ground, dig, ground, toxic, poison, rage, normal, mimic, normal, double-team, normal, light-screen, psychic, focus-energy, normal, bide, normal, metronome, normal, fire-blast, fire, skull-bash, normal, rest, psychic, rock-slide, rock, substitute, normal, thief, dark, snore, normal, curse, ghost, reversal, fighting, protect, normal, mach-punch, fighting, scary-face, normal, mud-slap, ground, foresight, normal, detect, fighting, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, dynamic-punch, fighting, encore, normal, vital-throw, fighting, hidden-power, normal, cross-chop, fighting, rain-dance, water, sunny-day, fire, rock-smash, fighting, facade, normal, focus-punch, fighting, helping-hand, normal, role-play, psychic, superpower, fighting, revenge, fighting, brick-break, fighting, knock-off, dark, secret-power, normal, rock-tomb, rock, bulk-up, fighting, rock-blast, rock, wake-up-slap, fighting, natural-gift, normal, close-combat, fighting, payback, dark, assurance, dark, fling, dark, poison-jab, poison, drain-punch, fighting, vacuum-wave, fighting, focus-blast, fighting, giga-impact, normal, bullet-punch, steel, rock-climb, normal, cross-poison, poison, stone-edge, rock, captivate, normal, double-hit, normal, wide-guard, rock, smack-down, rock, heavy-slam, steel, low-sweep, fighting, round, normal, incinerate, fire, retaliate, normal, bulldoze, ground, work-up, normal, dual-chop, dragon, confide, normal, power-up-punch, fighting, darkest-lariat, dark, high-horsepower, ground, throat-chop, dark, stomping-tantrum, ground, coaching, fighting"
Alolan Persian,Dark,,Fur Coat, Rattled, Technician,65,60,60,75,65,115,440,7,1000000,VERDADERO,90,FALSO,FALSO,VERDADERO,FALSO,1.1,33,27.3,50,50,20,Ground,,154,Ordinary,
Bellsprout,Grass,Poison,Chlorophyll, Gluttony,,50,75,35,70,30,40,300,1,1059860,FALSO,255,FALSO,FALSO,FALSO,FALSO,0.7,4,8.2,50,50,20,Grass,,60,Ordinary,"swords-dance, normal, cut, normal, bind, normal, slam, normal, vine-whip, grass, headbutt, normal, wrap, normal, take-down, normal, double-edge, normal, acid, poison, mega-drain, grass, growth, normal, razor-leaf, grass, solar-beam, grass, poison-powder, poison, stun-spore, grass, sleep-powder, grass, toxic, poison, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, leech-life, bug, flash, normal, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, sludge-bomb, poison, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, encore, normal, sweet-scent, normal, synthesis, grass, hidden-power, normal, sunny-day, fire, facade, normal, nature-power, normal, ingrain, grass, knock-off, dark, secret-power, normal, weather-ball, normal, tickle, normal, bullet-seed, grass, magical-leaf, grass, natural-gift, normal, wring-out, normal, gastro-acid, poison, worry-seed, grass, sucker-punch, dark, poison-jab, poison, seed-bomb, grass, energy-ball, grass, leaf-storm, grass, power-whip, grass, captivate, normal, grass-knot, grass, venoshock, poison, sludge-wave, poison, acid-spray, poison, round, normal, clear-smog, poison, belch, poison, grassy-terrain, grass, confide, normal, infestation, bug, strength-sap, grass, lunge, bug, grassy-glide, grass, tera-blast, normal, pounce, bug, trailblaze, grass"
Weepinbell,Grass,Poison,Chlorophyll, Gluttony,,65,90,50,85,45,55,390,1,1059860,FALSO,120,FALSO,FALSO,FALSO,FALSO,1,6.4,6.4,50,50,20,Grass,,137,Ordinary,"swords-dance, normal, cut, normal, bind, normal, slam, normal, vine-whip, grass, headbutt, normal, body-slam, normal, wrap, normal, take-down, normal, double-edge, normal, acid, poison, mega-drain, grass, growth, normal, razor-leaf, grass, solar-beam, grass, poison-powder, poison, stun-spore, grass, sleep-powder, grass, toxic, poison, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, swift, normal, leech-life, bug, flash, normal, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, sludge-bomb, poison, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, encore, normal, sweet-scent, normal, synthesis, grass, hidden-power, normal, sunny-day, fire, facade, normal, nature-power, normal, ingrain, grass, knock-off, dark, secret-power, normal, weather-ball, normal, tickle, normal, bullet-seed, grass, magical-leaf, grass, natural-gift, normal, wring-out, normal, gastro-acid, poison, worry-seed, grass, sucker-punch, dark, poison-jab, poison, seed-bomb, grass, energy-ball, grass, leaf-storm, grass, power-whip, grass, captivate, normal, grass-knot, grass, bug-bite, bug, venoshock, poison, sludge-wave, poison, acid-spray, poison, round, normal, clear-smog, poison, grassy-terrain, grass, confide, normal, infestation, bug, strength-sap, grass, lunge, bug, grassy-glide, grass, tera-blast, normal, pounce, bug, trailblaze, grass"
Victreebel,Grass,Poison,Chlorophyll, Gluttony,,80,105,65,100,70,70,490,1,1059860,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.7,15.5,5.4,50,50,20,Grass,,245,Ordinary,"swords-dance, normal, cut, normal, bind, normal, slam, normal, vine-whip, grass, headbutt, normal, body-slam, normal, wrap, normal, take-down, normal, double-edge, normal, acid, poison, hyper-beam, normal, mega-drain, grass, growth, normal, razor-leaf, grass, solar-beam, grass, poison-powder, poison, stun-spore, grass, sleep-powder, grass, toxic, poison, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, swift, normal, leech-life, bug, flash, normal, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, scary-face, normal, sludge-bomb, poison, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, encore, normal, sweet-scent, normal, synthesis, grass, hidden-power, normal, sunny-day, fire, stockpile, normal, spit-up, normal, swallow, normal, facade, normal, nature-power, normal, ingrain, grass, knock-off, dark, secret-power, normal, weather-ball, normal, tickle, normal, bullet-seed, grass, magical-leaf, grass, leaf-blade, grass, natural-gift, normal, gastro-acid, poison, worry-seed, grass, sucker-punch, dark, poison-jab, poison, seed-bomb, grass, energy-ball, grass, giga-impact, normal, leaf-storm, grass, power-whip, grass, captivate, normal, grass-knot, grass, bug-bite, bug, venoshock, poison, sludge-wave, poison, acid-spray, poison, round, normal, clear-smog, poison, leaf-tornado, grass, grassy-terrain, grass, confide, normal, infestation, bug, strength-sap, grass, lunge, bug, grassy-glide, grass, tera-blast, normal, pounce, bug, trailblaze, grass"
Tentacool,Water,Poison,Clear Body, Liquid Ooze, Rain Dish,40,40,35,50,100,70,335,1,1250000,FALSO,190,FALSO,FALSO,FALSO,FALSO,0.9,45.5,56.2,50,50,20,Water3,,67,Ordinary,"swords-dance, normal, cut, normal, bind, normal, headbutt, normal, wrap, normal, take-down, normal, double-edge, normal, poison-sting, poison, supersonic, normal, acid, poison, water-gun, water, hydro-pump, water, surf, water, ice-beam, ice, blizzard, ice, bubble-beam, water, aurora-beam, ice, mega-drain, grass, toxic, poison, rage, normal, mimic, normal, screech, normal, double-team, normal, confuse-ray, ghost, barrier, psychic, haze, ice, reflect, psychic, bide, normal, waterfall, water, swift, normal, skull-bash, normal, constrict, normal, bubble, water, acid-armor, poison, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, sludge-bomb, poison, icy-wind, ice, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, safeguard, normal, rapid-spin, normal, hidden-power, normal, rain-dance, water, mirror-coat, psychic, whirlpool, water, hail, ice, facade, normal, magic-coat, psychic, knock-off, dark, secret-power, normal, dive, water, tickle, normal, muddy-water, water, mud-shot, ground, water-pulse, water, brine, water, natural-gift, normal, acupressure, normal, payback, dark, wring-out, normal, toxic-spikes, poison, aqua-ring, water, poison-jab, poison, cross-poison, poison, gunk-shot, poison, captivate, normal, venoshock, poison, sludge-wave, poison, acid-spray, poison, round, normal, scald, water, hex, ghost, confide, normal, dazzling-gleam, fairy, infestation, bug, throat-chop, dark, brutal-swing, dark, liquidation, water, flip-turn, water, tera-blast, normal, pounce, bug, chilling-water, water"
Tentacruel,Water,Poison,Clear Body, Liquid Ooze, Rain Dish,80,70,65,80,120,100,515,1,1250000,VERDADERO,60,FALSO,FALSO,FALSO,FALSO,1.6,55,21.5,50,50,20,Water3,,180,Ordinary,"swords-dance, normal, cut, normal, bind, normal, headbutt, normal, wrap, normal, take-down, normal, double-edge, normal, poison-sting, poison, supersonic, normal, acid, poison, water-gun, water, hydro-pump, water, surf, water, ice-beam, ice, blizzard, ice, bubble-beam, water, aurora-beam, ice, hyper-beam, normal, mega-drain, grass, toxic, poison, rage, normal, mimic, normal, screech, normal, double-team, normal, confuse-ray, ghost, barrier, psychic, haze, ice, reflect, psychic, bide, normal, waterfall, water, swift, normal, skull-bash, normal, constrict, normal, bubble, water, acid-armor, poison, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, scary-face, normal, sludge-bomb, poison, icy-wind, ice, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, safeguard, normal, rapid-spin, normal, hidden-power, normal, rain-dance, water, mirror-coat, psychic, whirlpool, water, hail, ice, facade, normal, magic-coat, psychic, knock-off, dark, secret-power, normal, dive, water, weather-ball, normal, tickle, normal, muddy-water, water, mud-shot, ground, water-pulse, water, brine, water, natural-gift, normal, acupressure, normal, payback, dark, wring-out, normal, toxic-spikes, poison, aqua-ring, water, poison-jab, poison, giga-impact, normal, cross-poison, poison, gunk-shot, poison, captivate, normal, venoshock, poison, sludge-wave, poison, acid-spray, poison, round, normal, scald, water, hex, ghost, reflect-type, normal, confide, normal, venom-drench, poison, dazzling-gleam, fairy, infestation, bug, throat-chop, dark, brutal-swing, dark, liquidation, water, skitter-smack, bug, corrosive-gas, poison, flip-turn, water, tera-blast, normal, pounce, bug, chilling-water, water"
Geodude,Rock,Ground,Rock Head, Sand Veil, Sturdy,40,80,100,30,30,20,300,1,1059860,FALSO,255,FALSO,FALSO,FALSO,FALSO,0.4,20,125,50,50,15,Mineral,,60,Ordinary,"mega-punch, normal, fire-punch, fire, thunder-punch, electric, sand-attack, ground, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, flamethrower, fire, submission, fighting, counter, fighting, seismic-toss, fighting, strength, normal, rock-throw, rock, earthquake, ground, fissure, ground, dig, ground, toxic, poison, rage, normal, mimic, normal, double-team, normal, harden, normal, defense-curl, normal, bide, normal, metronome, normal, self-destruct, normal, fire-blast, fire, explosion, normal, rest, psychic, rock-slide, rock, substitute, normal, snore, normal, curse, ghost, flail, normal, protect, normal, scary-face, normal, mud-slap, ground, sandstorm, rock, endure, normal, rollout, rock, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, magnitude, ground, dynamic-punch, fighting, hidden-power, normal, sunny-day, fire, ancient-power, rock, rock-smash, fighting, facade, normal, focus-punch, fighting, nature-power, normal, superpower, fighting, brick-break, fighting, secret-power, normal, mud-sport, ground, rock-tomb, rock, iron-defense, steel, block, normal, mud-shot, ground, rock-blast, rock, hammer-arm, fighting, gyro-ball, steel, natural-gift, normal, fling, dark, sucker-punch, dark, rock-polish, rock, earth-power, ground, rock-climb, normal, stone-edge, rock, captivate, normal, stealth-rock, rock, wide-guard, rock, autotomize, steel, smack-down, rock, round, normal, incinerate, fire, bulldoze, ground, confide, normal, power-up-punch, fighting, high-horsepower, ground, stomping-tantrum, ground, tera-blast, normal"
Graveler,Rock,Ground,Rock Head, Sand Veil, Sturdy,55,95,115,45,45,35,390,1,1059860,FALSO,120,FALSO,FALSO,FALSO,FALSO,1,105,105,50,50,15,Mineral,,137,Ordinary,"mega-punch, normal, fire-punch, fire, thunder-punch, electric, sand-attack, ground, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, flamethrower, fire, submission, fighting, counter, fighting, seismic-toss, fighting, strength, normal, rock-throw, rock, earthquake, ground, fissure, ground, dig, ground, toxic, poison, rage, normal, mimic, normal, double-team, normal, harden, normal, defense-curl, normal, bide, normal, metronome, normal, self-destruct, normal, fire-blast, fire, explosion, normal, rest, psychic, rock-slide, rock, substitute, normal, snore, normal, curse, ghost, flail, normal, protect, normal, scary-face, normal, mud-slap, ground, sandstorm, rock, endure, normal, rollout, rock, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, magnitude, ground, dynamic-punch, fighting, hidden-power, normal, sunny-day, fire, ancient-power, rock, rock-smash, fighting, facade, normal, focus-punch, fighting, nature-power, normal, superpower, fighting, brick-break, fighting, secret-power, normal, mud-sport, ground, rock-tomb, rock, iron-defense, steel, block, normal, mud-shot, ground, rock-blast, rock, hammer-arm, fighting, gyro-ball, steel, natural-gift, normal, fling, dark, sucker-punch, dark, rock-polish, rock, focus-blast, fighting, earth-power, ground, rock-climb, normal, iron-head, steel, stone-edge, rock, captivate, normal, stealth-rock, rock, wide-guard, rock, smack-down, rock, heavy-slam, steel, round, normal, incinerate, fire, bulldoze, ground, confide, normal, power-up-punch, fighting, high-horsepower, ground, stomping-tantrum, ground, body-press, fighting, tera-blast, normal, hard-press, steel"
Golem,Rock,Ground,Rock Head, Sand Veil, Sturdy,80,120,130,55,65,45,495,1,1059860,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.4,300,153.1,50,50,15,Mineral,,223,Ordinary,"mega-punch, normal, fire-punch, fire, thunder-punch, electric, mega-kick, normal, sand-attack, ground, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, roar, normal, flamethrower, fire, hyper-beam, normal, submission, fighting, counter, fighting, seismic-toss, fighting, strength, normal, rock-throw, rock, earthquake, ground, fissure, ground, dig, ground, toxic, poison, rage, normal, mimic, normal, double-team, normal, harden, normal, defense-curl, normal, bide, normal, metronome, normal, self-destruct, normal, fire-blast, fire, explosion, normal, rest, psychic, rock-slide, rock, substitute, normal, snore, normal, curse, ghost, flail, normal, protect, normal, scary-face, normal, mud-slap, ground, sandstorm, rock, endure, normal, rollout, rock, swagger, normal, fury-cutter, bug, attract, normal, sleep-talk, normal, return, normal, frustration, normal, magnitude, ground, dynamic-punch, fighting, hidden-power, normal, sunny-day, fire, ancient-power, rock, rock-smash, fighting, facade, normal, focus-punch, fighting, nature-power, normal, superpower, fighting, brick-break, fighting, secret-power, normal, mud-sport, ground, rock-tomb, rock, iron-defense, steel, block, normal, mud-shot, ground, rock-blast, rock, hammer-arm, fighting, gyro-ball, steel, natural-gift, normal, fling, dark, sucker-punch, dark, rock-polish, rock, focus-blast, fighting, earth-power, ground, giga-impact, normal, rock-climb, normal, iron-head, steel, stone-edge, rock, captivate, normal, stealth-rock, rock, wide-guard, rock, smack-down, rock, heavy-slam, steel, round, normal, incinerate, fire, bulldoze, ground, steamroller, bug, confide, normal, power-up-punch, fighting, high-horsepower, ground, stomping-tantrum, ground, body-press, fighting, tera-blast, normal, hard-press, steel"
Ponyta,Fire,,Flame Body, Flash Fire, Run Away,50,85,55,65,65,90,410,1,1000000,FALSO,190,FALSO,FALSO,FALSO,FALSO,1,30,30,50,50,20,Ground,,82,Ordinary,"stomp, normal, double-kick, fighting, headbutt, normal, horn-drill, normal, tackle, normal, body-slam, normal, take-down, normal, thrash, normal, double-edge, normal, tail-whip, normal, growl, normal, ember, fire, flamethrower, fire, low-kick, fighting, strength, normal, solar-beam, grass, fire-spin, fire, toxic, poison, hypnosis, psychic, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, fire-blast, fire, swift, normal, skull-bash, normal, rest, psychic, substitute, normal, flame-wheel, fire, snore, normal, curse, ghost, protect, normal, endure, normal, charm, fairy, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, iron-tail, steel, morning-sun, normal, hidden-power, normal, sunny-day, fire, heat-wave, fire, will-o-wisp, fire, facade, normal, secret-power, normal, overheat, fire, bounce, flying, natural-gift, normal, flare-blitz, fire, captivate, normal, double-hit, normal, flame-charge, fire, round, normal, echoed-voice, normal, ally-switch, psychic, incinerate, fire, inferno, fire, wild-charge, electric, play-rough, fairy, confide, normal, mystical-fire, fire, high-horsepower, ground, solar-blade, grass"
Rapidash,Fire,,Flame Body, Flash Fire, Run Away,65,100,70,80,80,105,500,1,1000000,VERDADERO,60,FALSO,FALSO,FALSO,FALSO,1.7,95,32.9,50,50,20,Ground,,175,Ordinary,"pay-day, normal, swords-dance, normal, stomp, normal, double-kick, fighting, headbutt, normal, fury-attack, normal, horn-drill, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, tail-whip, normal, growl, normal, ember, fire, flamethrower, fire, hyper-beam, normal, low-kick, fighting, strength, normal, solar-beam, grass, fire-spin, fire, toxic, poison, hypnosis, psychic, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, fire-blast, fire, swift, normal, skull-bash, normal, rest, psychic, substitute, normal, flame-wheel, fire, snore, normal, curse, ghost, protect, normal, endure, normal, charm, fairy, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, megahorn, bug, baton-pass, normal, iron-tail, steel, hidden-power, normal, sunny-day, fire, heat-wave, fire, will-o-wisp, fire, facade, normal, secret-power, normal, overheat, fire, bounce, flying, natural-gift, normal, flare-blitz, fire, poison-jab, poison, giga-impact, normal, captivate, normal, double-hit, normal, flame-charge, fire, round, normal, echoed-voice, normal, ally-switch, psychic, incinerate, fire, inferno, fire, wild-charge, electric, drill-run, ground, play-rough, fairy, confide, normal, mystical-fire, fire, high-horsepower, ground, solar-blade, grass, throat-chop, dark, smart-strike, steel, scorching-sands, ground"
Slowpoke,Water,Psychic,Oblivious, Own Tempo, Regenerator,90,65,65,40,40,15,315,1,1000000,FALSO,190,FALSO,FALSO,FALSO,FALSO,1.2,36,25,50,50,20,Monster,Water1,63,Ordinary,"pay-day, normal, stomp, normal, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, growl, normal, disable, normal, flamethrower, fire, water-gun, water, hydro-pump, water, surf, water, ice-beam, ice, blizzard, ice, psybeam, psychic, bubble-beam, water, strength, normal, thunder-wave, electric, earthquake, ground, fissure, ground, dig, ground, toxic, poison, confusion, psychic, psychic, psychic, rage, normal, teleport, psychic, mimic, normal, double-team, normal, light-screen, psychic, reflect, psychic, bide, normal, fire-blast, fire, waterfall, water, swift, normal, skull-bash, normal, amnesia, psychic, dream-eater, psychic, flash, normal, psywave, psychic, rest, psychic, tri-attack, normal, substitute, normal, nightmare, ghost, snore, normal, curse, ghost, protect, normal, belly-drum, normal, mud-slap, ground, zap-cannon, electric, icy-wind, ice, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, safeguard, normal, iron-tail, steel, hidden-power, normal, rain-dance, water, sunny-day, fire, psych-up, normal, shadow-ball, ghost, future-sight, psychic, whirlpool, water, hail, ice, facade, normal, helping-hand, normal, trick, psychic, magic-coat, psychic, recycle, normal, yawn, normal, skill-swap, psychic, imprison, psychic, secret-power, normal, dive, water, mud-sport, ground, slack-off, normal, weather-ball, normal, signal-beam, bug, block, normal, mud-shot, ground, calm-mind, psychic, water-pulse, water, brine, water, natural-gift, normal, me-first, normal, aqua-tail, water, avalanche, ice, zen-headbutt, psychic, trick-room, psychic, captivate, normal, grass-knot, grass, wonder-room, psychic, psyshock, psychic, telekinesis, psychic, foul-play, dark, after-you, normal, round, normal, echoed-voice, normal, stored-power, psychic, scald, water, heal-pulse, psychic, incinerate, fire, bulldoze, ground, belch, poison, confide, normal, psychic-terrain, psychic, liquidation, water, expanding-force, psychic, tera-blast, normal, snowscape, ice, chilling-water, water"
Slowbro,Water,Psychic,Oblivious, Own Tempo, Regenerator,95,75,110,100,80,30,490,1,1000000,VERDADERO,75,FALSO,FALSO,FALSO,FALSO,1.6,78.5,30.7,50,50,20,Monster,Water1,172,Ordinary,"mega-punch, normal, pay-day, normal, ice-punch, ice, stomp, normal, mega-kick, normal, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, growl, normal, disable, normal, flamethrower, fire, water-gun, water, hydro-pump, water, surf, water, ice-beam, ice, blizzard, ice, psybeam, psychic, bubble-beam, water, hyper-beam, normal, submission, fighting, counter, fighting, seismic-toss, fighting, strength, normal, thunder-wave, electric, earthquake, ground, fissure, ground, dig, ground, toxic, poison, confusion, psychic, psychic, psychic, rage, normal, teleport, psychic, mimic, normal, double-team, normal, withdraw, water, light-screen, psychic, reflect, psychic, bide, normal, metronome, normal, fire-blast, fire, waterfall, water, swift, normal, skull-bash, normal, amnesia, psychic, dream-eater, psychic, flash, normal, psywave, psychic, rest, psychic, tri-attack, normal, substitute, normal, nightmare, ghost, snore, normal, curse, ghost, protect, normal, mud-slap, ground, zap-cannon, electric, icy-wind, ice, endure, normal, swagger, normal, fury-cutter, bug, attract, normal, sleep-talk, normal, return, normal, frustration, normal, safeguard, normal, dynamic-punch, fighting, iron-tail, steel, hidden-power, normal, rain-dance, water, sunny-day, fire, psych-up, normal, shadow-ball, ghost, future-sight, psychic, rock-smash, fighting, whirlpool, water, hail, ice, facade, normal, focus-punch, fighting, helping-hand, normal, trick, psychic, magic-coat, psychic, recycle, normal, brick-break, fighting, yawn, normal, skill-swap, psychic, imprison, psychic, secret-power, normal, dive, water, slack-off, normal, weather-ball, normal, signal-beam, bug, muddy-water, water, aerial-ace, flying, iron-defense, steel, block, normal, mud-shot, ground, calm-mind, psychic, water-pulse, water, brine, water, natural-gift, normal, fling, dark, aqua-tail, water, drain-punch, fighting, focus-blast, fighting, giga-impact, normal, nasty-plot, dark, avalanche, ice, zen-headbutt, psychic, trick-room, psychic, captivate, normal, grass-knot, grass, wonder-room, psychic, psyshock, psychic, telekinesis, psychic, foul-play, dark, after-you, normal, round, normal, echoed-voice, normal, stored-power, psychic, scald, water, heal-pulse, psychic, incinerate, fire, bulldoze, ground, razor-shell, water, confide, normal, psychic-terrain, psychic, liquidation, water, body-press, fighting, expanding-force, psychic, tera-blast, normal, snowscape, ice, chilling-water, water, psychic-noise, psychic"
Magnemite,Electric,Steel,Analytic, Magnet Pull, Sturdy,25,35,70,95,55,45,325,1,1000000,FALSO,190,FALSO,FALSO,FALSO,FALSO,0.3,6,66.7,0,0,20,Mineral,,65,Ordinary,"headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, supersonic, normal, sonic-boom, normal, thunder-shock, electric, thunderbolt, electric, thunder-wave, electric, thunder, electric, toxic, poison, rage, normal, teleport, psychic, mimic, normal, screech, normal, double-team, normal, confuse-ray, ghost, light-screen, psychic, reflect, psychic, bide, normal, swift, normal, flash, normal, explosion, normal, rest, psychic, substitute, normal, snore, normal, curse, ghost, protect, normal, zap-cannon, electric, lock-on, normal, sandstorm, rock, endure, normal, rollout, rock, swagger, normal, spark, electric, sleep-talk, normal, return, normal, frustration, normal, hidden-power, normal, rain-dance, water, sunny-day, fire, psych-up, normal, facade, normal, charge, electric, helping-hand, normal, magic-coat, psychic, recycle, normal, secret-power, normal, metal-sound, steel, signal-beam, bug, iron-defense, steel, shock-wave, electric, gravity, psychic, gyro-ball, steel, natural-gift, normal, magnet-rise, electric, mirror-shot, steel, flash-cannon, steel, discharge, electric, iron-head, steel, magnet-bomb, steel, charge-beam, electric, heavy-slam, steel, electro-ball, electric, round, normal, volt-switch, electric, electroweb, electric, wild-charge, electric, confide, normal, eerie-impulse, electric, electric-terrain, electric, steel-beam, steel, rising-voltage, electric, tera-blast, normal"
Mega Alakazam,Psychic,,Trace,,,55,50,65,175,95,150,590,6,1059860,VERDADERO,50,FALSO,VERDADERO,FALSO,FALSO,1.2,48,33.3,75,25,20,Human-Like,,270,Ordinary,
Magneton,Electric,Steel,Analytic, Magnet Pull, Sturdy,50,60,95,120,70,70,465,1,1000000,FALSO,60,FALSO,FALSO,FALSO,FALSO,1,60,60,0,0,20,Mineral,,163,Ordinary,"headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, supersonic, normal, sonic-boom, normal, hyper-beam, normal, thunder-shock, electric, thunderbolt, electric, thunder-wave, electric, thunder, electric, toxic, poison, rage, normal, teleport, psychic, mimic, normal, screech, normal, double-team, normal, confuse-ray, ghost, light-screen, psychic, reflect, psychic, bide, normal, swift, normal, flash, normal, explosion, normal, rest, psychic, tri-attack, normal, substitute, normal, snore, normal, curse, ghost, protect, normal, zap-cannon, electric, lock-on, normal, sandstorm, rock, endure, normal, rollout, rock, swagger, normal, spark, electric, sleep-talk, normal, return, normal, frustration, normal, hidden-power, normal, rain-dance, water, sunny-day, fire, psych-up, normal, facade, normal, charge, electric, helping-hand, normal, magic-coat, psychic, recycle, normal, secret-power, normal, metal-sound, steel, signal-beam, bug, iron-defense, steel, shock-wave, electric, gravity, psychic, gyro-ball, steel, natural-gift, normal, magnet-rise, electric, giga-impact, normal, mirror-shot, steel, flash-cannon, steel, discharge, electric, iron-head, steel, magnet-bomb, steel, charge-beam, electric, heavy-slam, steel, electro-ball, electric, round, normal, volt-switch, electric, electroweb, electric, wild-charge, electric, confide, normal, eerie-impulse, electric, electric-terrain, electric, steel-beam, steel, rising-voltage, electric, tera-blast, normal"
Doduo,Normal,Flying,Early Bird, Run Away, Tangled Feet,35,85,45,35,35,75,310,1,1000000,FALSO,190,FALSO,FALSO,FALSO,FALSO,1.4,39.2,20,50,50,20,Flying,,62,Ordinary,"swords-dance, normal, wing-attack, flying, whirlwind, normal, fly, flying, jump-kick, fighting, headbutt, normal, fury-attack, normal, body-slam, normal, take-down, normal, thrash, normal, double-edge, normal, leer, normal, growl, normal, supersonic, normal, peck, flying, drill-peck, flying, low-kick, fighting, toxic, poison, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, haze, ice, reflect, psychic, bide, normal, mirror-move, flying, swift, normal, skull-bash, normal, sky-attack, flying, rest, psychic, tri-attack, normal, substitute, normal, thief, dark, snore, normal, curse, ghost, flail, normal, protect, normal, feint-attack, dark, mud-slap, ground, endure, normal, swagger, normal, steel-wing, steel, attract, normal, sleep-talk, normal, return, normal, frustration, normal, baton-pass, normal, pursuit, dark, hidden-power, normal, rain-dance, water, sunny-day, fire, uproar, normal, facade, normal, helping-hand, normal, knock-off, dark, endeavor, normal, secret-power, normal, feather-dance, flying, air-cutter, flying, aerial-ace, flying, roost, flying, natural-gift, normal, pluck, flying, tailwind, flying, acupressure, normal, assurance, dark, brave-bird, flying, captivate, normal, double-hit, normal, round, normal, echoed-voice, normal, acrobatics, flying, work-up, normal, confide, normal, throat-chop, dark, lunge, bug, tera-blast, normal"
